AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Precipitation,WindSpeed,event_timestamp,month,weekday,season_idx,month_sin,month_cos,day_sin,day_cos,log_PM2.5,log_CO,pm_ratio,AQI_lag_1,AQI_lag_2,PM2.5_lag_1,PM10_lag_1,NO2_lag_1,SO2_lag_1,CO_lag_1,O3_lag_1,AQI_roll_mean_3,AQI_roll_std_3,AQI_roll_mean_7,AQI_diff,PM2.5_diff,PM10_diff,NO2_diff,SO2_diff,CO_diff,O3_diff,temp_diff,hum_diff,target_aqi_1d,target_aqi_2d,target_aqi_3d
159.5,44.412,76.158,34.863,32.267,884.292,119.458,21.871,78.792,0.0,14.629,2023-02-14,2,2,1,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,3.815776387302287,6.785917534091367,0.5831560702749546,159.5,159.5,44.412,76.158,34.863,32.267,884.292,119.458,159.5,2.5632620818012346,159.5,-3.625,16.538000000000004,23.313000000000002,18.012,15.578999999999994,393.04100000000005,-7.915999999999997,-0.9539999999999971,11.457999999999998,155.875,141.917,143.375
155.875,55.1315,99.471,52.8655,36.319,1277.333,111.542,20.917,90.25,0.0,9.096,2023-02-15,2,3,1,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,4.126327608075152,7.15331216437702,0.6127414020166682,159.5,159.5,44.412,76.158,34.863,32.267,884.292,119.458,157.6875,2.5632620818012346,157.6875,-3.625,16.538000000000004,23.313000000000002,18.012,15.578999999999994,393.04100000000005,-7.915999999999997,-0.9539999999999971,11.457999999999998,141.917,143.375,185.167
141.917,42.167,68.413,43.417,33.521,929.542,79.375,22.208,83.25,0.0,13.871,2023-02-16,2,4,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,3.76507631444939,6.8357672120867665,0.616359463844591,155.875,159.5,60.95,99.471,52.875,47.846,1277.333,111.542,152.43066666666667,9.283751738027753,152.43066666666667,-13.957999999999998,-18.783,-31.058000000000007,-9.457999999999998,-14.324999999999996,-347.79100000000005,-32.167,1.2909999999999968,-7.0,143.375,185.167,161.292
143.375,55.1315,85.446,46.021,36.083,1069.542,107.25,22.454,81.333,0.0,10.275,2023-02-17,2,5,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,4.044804116661965,6.975920341262906,0.6565550172038481,141.917,155.875,42.167,68.413,43.417,33.521,929.542,79.375,147.05566666666667,7.672478174184231,150.16675,1.4579999999999984,13.933,17.033,2.603999999999999,2.5619999999999976,139.9999999999999,27.875,0.24600000000000222,-1.9170000000000016,185.167,161.292,105.958
185.167,55.1315,119.752,52.679,36.319,1370.375,125.043,21.492,77.042,0.0,8.7,2023-02-18,2,6,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,4.42439143845165,7.223569165137655,0.6834584845923053,143.375,141.917,56.1,85.446,46.021,36.083,1069.542,107.25,156.81966666666668,24.560332272453746,157.16680000000002,41.792,26.362000000000002,35.208,6.658000000000001,6.867000000000004,300.8330000000001,34.917,-0.9619999999999997,-4.290999999999997,161.292,105.958,120.708
161.292,44.613,72.483,42.421,36.319,993.833,94.667,21.542,87.292,0.0,10.154,2023-02-19,2,7,1,0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,3.8201927636098567,6.902574883876039,0.6154960473490335,185.167,143.375,82.462,120.654,52.679,42.95,1370.375,142.167,163.27800000000002,20.966663134604886,157.85433333333333,-23.875,-37.849000000000004,-48.17099999999999,-10.258000000000003,-6.204000000000001,-376.54200000000003,-47.5,0.05000000000000071,10.25,105.958,120.708,109.667
105.958,30.787,57.554,26.567,23.446,628.042,92.25,23.383,78.875,0.0,15.796,2023-02-20,2,1,1,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,3.4590574011711275,6.444198027126254,0.5349237238072071,161.292,185.167,44.613,72.483,42.421,36.746,993.833,94.667,150.80566666666667,40.63236161403044,150.44057142857145,-55.334,-13.826,-14.929000000000002,-15.854,-13.3,-365.79099999999994,-2.4170000000000016,1.8409999999999975,-8.417000000000002,120.708,109.667,74.833
120.708,48.054,79.892,33.833,28.787,829.042,116.875,22.992,84.75,0.0,12.896,2023-02-21,2,2,1,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,3.8929217321257448,6.721476301920023,0.6014870074600711,105.958,161.292,30.787,57.554,26.567,23.446,628.042,92.25,129.31933333333333,28.654479324066177,144.89885714285714,14.75,17.267000000000003,22.337999999999994,7.265999999999998,5.3409999999999975,201.0,24.625,-0.39099999999999824,5.875,109.667,74.833,95.917
109.667,22.296,41.567,16.454,13.658,389.0,98.542,22.8,82.25,0.0,18.35,2023-02-22,2,3,1,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,3.1482816720142752,5.966146739123692,0.5363870377944042,120.708,105.958,48.054,79.892,33.833,28.787,829.042,116.875,112.11099999999999,7.672709886344212,138.2977142857143,-11.040999999999997,-25.758000000000003,-38.324999999999996,-17.378999999999998,-15.129,-440.04200000000003,-18.333,-0.19200000000000017,-2.5,74.833,95.917,90.167
74.833,28.446,51.562,25.838,21.2,542.958,96.667,22.4,81.458,0.0,13.108,2023-02-23,2,4,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,3.3825580774432167,6.298872037993062,0.5516853496761182,109.667,120.708,22.296,41.567,16.454,13.658,389.0,98.542,101.73599999999999,23.943777417107878,128.71428571428572,-34.834,6.150000000000002,9.994999999999997,9.384,7.542,153.95799999999997,-1.875,-0.40000000000000213,-0.7920000000000016,95.917,90.167,84.375
95.917,32.883,69.858,26.662,23.696,623.042,97.083,21.912,84.625,0.0,13.121,2023-02-24,2,5,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,3.522913413679548,6.4362176737966745,0.4707120158034871,74.833,109.667,28.446,51.562,25.838,21.2,542.958,96.667,93.47233333333334,17.5452040550499,121.93457142857142,21.084000000000003,4.437000000000001,18.296000000000006,0.8239999999999981,2.496000000000002,80.08400000000006,0.4159999999999968,-0.48799999999999955,3.1670000000000016,90.167,84.375,118.167
90.167,27.838,56.529,28.438,20.946,575.708,61.542,23.179,79.208,0.0,15.921,2023-02-25,2,6,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,3.361693961884455,6.35733607255567,0.49245519998584797,95.917,74.833,32.883,69.858,26.662,23.696,623.042,97.083,86.97233333333334,10.898999281279917,108.36314285714286,-5.75,-5.045000000000002,-13.329,1.7759999999999998,-2.75,-47.33400000000006,-35.541,1.2669999999999995,-5.417000000000002,84.375,118.167,118.917
